Subject,Entry,Phoneme Count
SBQ0YTZJ7,cats,4
SBQ0YTZJ7,horses,6
SBQ0YTZJ7,pig,3
SBQ0YTZJ7,mole,3
SBQ0YTZJ7,whale,3
SBQ0YTZJ7,bears,4
SBQ0YTZJ7,goats,4
SBQ0YTZJ7,alligators,8
SBQ0YTZJ7,crocodiles,9
SBQ0YTZJ7,squirrels,7
SBQ0YTZJ7,rabbits,6
SBQ0YTZJ7,mice,3
SBQ0YTZJ7,rats,4
SBQ0YTZJ7,elephants,8
SBQ0YTZJ7,lions,5
SBQ0YTZJ7,tigers,5
SWCTUV8P3,cow,2
SWCTUV8P3,dog,3
SWCTUV8P3,cat,3
SWCTUV8P3,elephant,7
SWCTUV8P3,ape,2
SWCTUV8P3,giraffe,4
SWCTUV8P3,horse,4
SWCTUV8P3,mule,4
SWCTUV8P3,snake,4
SWCTUV8P3,bear,3
SWCTUV8P3,deer,3
SZFDTP5N8,cat,3
SZFDTP5N8,dog,3
SZFDTP5N8,horse,4
SZFDTP5N8,elephant,7
SZFDTP5N8,leopard,5
SZFDTP5N8,squirrels,7
SZFDTP5N8,whales,4
SZFDTP5N8,dolphins,7
SZFDTP5N8,birds,4
SZFDTP5N8,parrot,5
SZFDTP5N8,parakeet,7
SZFDTP5N8,snake,4
SZFDTP5N8,alligator,7
SZFDTP5N8,crocodile,8
SIFB620NZ,dog,3
SIFB620NZ,cat,3
SIFB620NZ,lion,4
SIFB620NZ,elephant,7
SIFB620NZ,giraffe,4
SIFB620NZ,goat,3
SIFB620NZ,cow,2
SIFB620NZ,gorilla,5
SIFB620NZ,squirrel,6
SIFB620NZ,rat,3
SIFB620NZ,bird,3
S8LK0XOXT,horse,4
S8LK0XOXT,dog,3
S8LK0XOXT,elephant,7
S8LK0XOXT,cat,3
S8LK0XOXT,rhinocerous,NA
S8LK0XOXT,monkey,5
S8LK0XOXT,donkey,5
S8LK0XOXT,giraffe,4
S8LK0XOXT,lion,4
S8LK0XOXT,tiger,4
S8LK0XOXT,bear,3
S8LK0XOXT,fish,3
S8LK0XOXT,dolphins,7
S8LK0XOXT,whales,4
S8LK0XOXT,ape,2
S8LK0XOXT,orangatan,NA
S8LK0XOXT,coyote,5
S8LK0XOXT,wolf,4
S9H21KN0M,mongoose,6
S9H21KN0M,snake,4
S9H21KN0M,lions,5
S9H21KN0M,hyenas,6
S9H21KN0M,zebra,5
S9H21KN0M,buffalo,6
S9H21KN0M,elephant,7
S9H21KN0M,crocodile,8
S9H21KN0M,alligators,8
S9H21KN0M,dog,3
S9H21KN0M,cat,3
S9H21KN0M,monkey,5
S9H21KN0M,apes,3
S9H21KN0M,shark,4
S9H21KN0M,whale,3
S9H21KN0M,seal,3
S9H21KN0M,penguins,8
S9H21KN0M,bears,4
S9H21KN0M,fox,4
S9H21KN0M,wolf,4
SJMLPAMIB,dog,3
SJMLPAMIB,cat,3
SJMLPAMIB,lion,4
SJMLPAMIB,tiger,4
SJMLPAMIB,cow,2
SJMLPAMIB,horse,4
SJMLPAMIB,wolf,4
SJMLPAMIB,elephant,7
SJMLPAMIB,raccoon,5
SJMLPAMIB,skunk,5
SJMLPAMIB,llama,4
SXH59PTCK,cat,3
SXH59PTCK,dog,3
SXH59PTCK,rabbit,5
SXH59PTCK,duck,3
SXH59PTCK,frog,4
SXH59PTCK,toad,3
SXH59PTCK,anteater,6
SXH59PTCK,mule,4
SXH59PTCK,horse,4
SXH59PTCK,mouse,3
SXH59PTCK,elephant,7
SXH59PTCK,tiger,4
SXH59PTCK,lion,4
S7WAMXAO1,frog,4
S7WAMXAO1,cow,2
S7WAMXAO1,horse,4
S7WAMXAO1,pig,3
S7WAMXAO1,giraffe,4
