Subject,Entry,Phoneme Count
SSC66K9JX,cockroach,6
SSC66K9JX,snake,4
SSC66K9JX,alligator,7
SSC66K9JX,crocodile,8
SSC66K9JX,pig,3
S1RQTIKHE,bear,3
S1RQTIKHE,tiger,4
S1RQTIKHE,lion,4
S1RQTIKHE,cat,3
S1RQTIKHE,dog,3
S1RQTIKHE,racoon,NA
S1RQTIKHE,possum,5
S1RQTIKHE,deer,3
S1RQTIKHE,rhinoceros,8
S1RQTIKHE,elephant,7
S1RQTIKHE,cheetah,4
S1RQTIKHE,gerbil,NA
S1RQTIKHE,mouse,3
S1RQTIKHE,bird,3
S1RQTIKHE,whale,3
S1RQTIKHE,dolphin,6
S1RQTIKHE,fish,3
S1RQTIKHE,stingray,NA
S1RQTIKHE,octopus,7
S1RQTIKHE,snail,4
S1RQTIKHE,crab,4
S1RQTIKHE,cow,2
S1RQTIKHE,sheep,3
S2FJZIKF5,giraffe,4
S2FJZIKF5,ape,2
S2FJZIKF5,gorilla,5
S2FJZIKF5,cat,3
S2FJZIKF5,dog,3
S2FJZIKF5,fish,3
S2FJZIKF5,fox,4
S2FJZIKF5,possum,5
S2FJZIKF5,deer,3
S2FJZIKF5,duck,3
S2FJZIKF5,bear,3
S2FJZIKF5,tiger,4
S2FJZIKF5,lion,4
S2FJZIKF5,panther,5
S2FJZIKF5,elephant,7
S2FJZIKF5,penguin,7
S2FJZIKF5,cheetah,4
S2FJZIKF5,crocodile,8
S2FJZIKF5,parrot,5
S2FJZIKF5,hawk,3
S2FJZIKF5,shark,4
S2FJZIKF5,polar bear,NA
S2FJZIKF5,rat,3
S2FJZIKF5,squirrel,6
S2FJZIKF5,pigeon,5
